[raw_daily / RAW]
datetime,open,high,low,close,volume
[/raw_daily / RAW]
[updown_bb / WAVE_S]
datetime,open,high,low,close,volume,upbb_u,upbb_m,upbb_l,rsi,stoch
2026-06-09 00,109266.667,117800,109266.667,115100,311693,121977.68,105973.22,88856.51,41.86,29.76
2026-06-09 08,108000,116833.333,106200,116833.333,428859.333333333,121776.8,106214.97,89021.37,51.7,51.42
2026-06-09 16,116833.333,125600,116833.333,121933.333,428859.333333333,122156.54,106505.06,89081.21,57.25,72.92
2026-06-10 00,121933.333,121933.333,109500,109500,428859.333333333,122412.89,106708.24,87823.33,61.61,86.46
2026-06-10 08,114800,114800,106400,112966.667,800963.666666667,122664.02,106857.46,87049.1,60.33,91.66
2026-06-10 16,112966.667,127933.333,112966.667,127933.333,800963.666666667,125134.4,107376.2,87326.08,60.33,94.27
2026-06-11 00,127933.333,138100,127933.333,133300,800963.666666667,129797.88,109126.62,88308,68.19,97.13
[/updown_bb / WAVE_M]
[updown_bb / WAVE_L]
datetime,open,high,low,close,volume,upbb_u,upbb_m,upbb_l,rsi,stoch
2026-01-13,43800,48800,43500,48300,915773,54435.89,49128.39,41521.73,12.23,13.65
2026-01-14,47550,49000,46300,48000,555762,54386.35,48741.79,40966.57,26.66,20.57
2026-01-15,47900,52700,47100,52000,1831482,54261.15,48401.25,40963.75,31.51,28.11
2026-01-16,47600,53400,47100,51600,911607,54329.46,48298.33,41249.53,48.44,50.14
2026-01-19,53400,53400,49900,51200,526202,54314.01,48284.09,41734.28,53.89,69.02
2026-01-20,50800,52300,48500,49250,700389,54113.13,48210.85,41948.16,53.54,78.08
2026-01-21,50300,50400,45600,47600,749912,53869.41,48135.22,41855.42,53.28,88.21
2026-01-22,47600,49300,45600,48650,536547,53802.97,48032.19,41950.31,44.84,81.53
2026-01-23,49150,50500,47500,50400,542391,53793.29,48238.1,42289.85,44.84,77.75
2026-01-26,48900,52200,48000,52100,941012,53605.99,48633.92,42893.68,49.97,82.23
2026-01-27,50100,53000,49550,52500,809498,53436.65,49141.61,43699.48,57.94,91.12
2026-01-28,51800,59900,51100,59700,3531100,54633.32,49606.43,44656.22,62.45,95.56
2026-01-29,55000,62100,52600,56300,2454200,57151.15,50388.3,44925.88,76.08,97.78
2026-01-30,62000,65700,52600,60500,3663744,60388.11,50998.45,44728.07,76.96,98.89
2026-02-02,57300,65700,57300,59600,1655979,63365.29,51737.06,44608.57,81.69,99.44
2026-02-03,62000,64000,58100,62500,1063283,65628.41,52556.47,43802.84,83.04,99.72
2026-02-04,63200,64000,57800,58600,1063532,67384.02,53556.19,43402.16,85.76,99.86
2026-02-05,61000,61900,54800,55100,695788,68505.7,54726.66,43861.71,86.5,99.93
2026-02-06,55900,57700,50800,52900,685979,68624.48,55678.63,45053.18,70.21,90.52
2026-02-09,52000,55800,50800,54400,511576,67780.42,56292.57,46344.15,55.49,72.96
2026-02-10,55500,55800,52400,52400,542599,66219.16,56794.63,47739.57,55.49,61.92
2026-02-11,54900,55000,51200,52400,326684,65659.83,57201.43,48948.33,54.51,49.37
2026-02-12,52400,54000,51200,52100,514656,66025.6,57113.28,49723.28,48.05,29.8
2026-02-13,53900,54000,50100,50600,388635,66425.12,56987.14,49790.68,47.87,22.72
2026-02-19,51600,52700,50100,51500,572902,66175.16,56534.31,49498.48,42.69,17.63
2026-02-20,52000,52700,50600,51300,393899,65558.9,55964.77,49003.46,40.86,13.41
2026-02-23,52100,52900,50600,51400,466676,64408.1,55197.62,49026.43,39.91,11.23
2026-02-24,52300,53800,50700,53400,634109,62609.04,54371.42,49601.22,39.67,11.23
2026-02-25,51400,56700,50700,53800,851465,60327.1,53763.7,49750.25,39.67,15.05
2026-02-26,56600,56700,53400,55500,654725,58619.11,53487.73,49751.88,44.39,23.67
2026-02-27,55400,55900,52600,54000,483484,57581.08,53320.79,49901.75,52.6,42.82
2026-03-03,53000,56600,51200,51300,876842,56966.38,53221.92,49980.2,55.85,71.41
2026-03-04,52400,56600,42500,43150,824160,56824.15,53115.24,48342.78,45.87,61.59
2026-03-05,49350,52300,42500,50000,642138,56999.76,52849.37,46289.72,37.24,51.09
2026-03-06,47050,57500,46500,57000,1477360,57160.6,52693.05,44944.35,37.24,45.83
2026-03-09,50000,57500,50000,51800,636246,57440.84,52658.81,44180.87,43.74,51.18
2026-03-10,53400,56000,50500,52700,614148,57423.34,52645.1,43999.24,43.74,53.85
2026-03-11,56000,56000,51200,53300,554501,56936.01,52653.65,43990.1,45.26,56.9
2026-03-12,53900,55500,51100,52200,395313,56749.74,52769.61,44019.84,53.73,68.97
2026-03-13,52600,53200,49700,51900,359599,56704.4,52787.61,44053.77,50.25,70.76
2026-03-16,50000,56400,49700,56000,975957,56710.97,52696.57,44303.27,50.25,71.65
2026-03-17,51500,58900,51100,56500,924625,57035.99,52645.22,44581.81,57.24,85.83
2026-03-18,58700,60800,55700,59600,1194598,58148.2,52840.48,44656.4,64.03,92.91
2026-03-19,58300,61500,57050,60100,955288,59432.04,53394.93,45132.31,72.83,96.46
2026-03-20,57700,63500,57050,62500,1097095,61039.85,54074.76,45684.09,76.85,98.23
2026-03-23,60700,63500,56500,56800,662564,62534.53,54694.82,46347.47,77.48,99.11
2026-03-24,60200,61600,55600,56800,513230,63627.23,55314.88,46834.65,77.48,99.56
2026-03-25,59900,64300,55600,62600,1224737,64679.09,55984.42,47362.04,79.63,99.78
2026-03-26,58500,64300,57800,58600,1029359,65559.65,56634.54,47900.55,82.12,99.89
2026-03-27,61400,64100,54600,56200,642709,66053.68,57258.44,48670.54,74.16,95.74
2026-03-30,56600,58300,50100,51500,565460,65882.35,57798.6,49647.71,65.65,88.61
2026-03-31,52600,52700,47050,47450,612650,65164.18,57994.24,49992.54,47.23,54.25
2026-04-01,49500,53400,47050,52900,497108,65531.82,57816.55,49421.41,35.66,31.21
2026-04-02,51200,54100,48250,48950,777633,66462.26,57442.7,48176.97,35.66,19.69
2026-04-03,54100,54100,48250,49550,351846,67054.11,56875.41,46960.15,33.11,18.08
2026-04-06,50500,57600,48900,54500,950326,66955.81,56269.9,46089.49,32.47,16.34
2026-04-07,52000,58800,51800,57900,787566,66540.25,55664.38,45585.79,32.47,15.46
2026-04-08,58000,68000,55900,68000,2071095,66306.18,55232.38,45681.25,49.64,28.53
2026-04-09,61500,70700,60500,68400,1312616,67133.01,55288.57,46179.18,69.96,64.27
2026-04-10,66100,71700,65700,68100,964130,68862.99,55730.22,46040.02,75.89,82.13
2026-04-13,70900,71700,65600,66400,525302,70930.57,56422.14,44148.17,78.39,91.07
2026-04-14,67000,69500,65600,66300,654624,73007.26,57396.79,42885.49,78.78,95.53
2026-04-15,68500,73200,64700,71100,1706699,75237.88,58659.6,42652.37,79.12,97.77
2026-04-16,68800,77600,64700,76100,1201601,77612.01,60156.59,43301.78,82.5,98.88
2026-04-17,69900,77600,69700,76200,600176,79338.32,62068.54,44754.59,86.18,99.44
2026-04-20,74500,79800,73400,78300,886420,80644.82,64186.04,46697.14,87.74,99.72
2026-04-21,76200,82400,74700,79400,674571,81523.68,66506.42,49228.18,89.2,99.86
2026-04-22,80500,87700,77600,86600,1139156,83897.14,68748.62,52176.15,90.23,99.93
